# This file contains the statistics of trip_distance data in NYC datasets
# There are total: 147 550 563 values, in which there are 7670 distinct values
# We also count the number of repeatation for each value as follows: 
('10.77', 7767)
('10.76', 7889)
('10.75', 7884)
('10.74', 7732)
('10.79', 7802)
('10.78', 7915)
('11.78', 5291)
('11.79', 5396)
('37.69', 17)
('37.68', 8)
('37.63', 14)
('37.62', 17)
('37.61', 11)
('37.60', 111)
('37.67', 11)
('37.66', 14)
('37.65', 12)
('37.64', 11)
('6.08', 17890)
('12.38', 4198)
('12.31', 4319)
('6.01', 18311)
('6.02', 18376)
('6.03', 18379)
('12.35', 4326)
('12.34', 4254)
('12.37', 4172)
('12.36', 4155)
('35.21', 13)
('35.20', 140)
('35.23', 18)
('35.22', 28)
('35.25', 18)
('35.24', 13)
('35.27', 12)
('35.26', 25)
('35.29', 20)
('35.28', 14)
('180.70', 1)
('29.95', 42)
('29.94', 57)
('5.98', 18811)
('5.99', 18414)
('29.91', 53)
('29.90', 453)
('29.93', 44)
('29.92', 62)
('5.92', 19023)
('5.93', 18994)
('5.90', 171844)
('5.91', 19051)
('5.96', 18847)
('5.97', 18690)
('5.94', 19008)
('5.95', 18963)
('47.83', 2)
('118.67', 1)
('124.81', 1)
('124.80', 1)
('28.12', 133)
('28.13', 147)
('28.10', 1134)
('28.11', 133)
('28.16', 139)
('28.17', 143)
('28.14', 131)
('28.15', 127)
('28.18', 124)
('28.19', 143)
('46.05', 1)
('46.04', 4)
('46.07', 3)
('46.06', 3)
('46.01', 7)
('46.00', 23)
('46.03', 6)
('46.02', 3)
('165.10', 2)
('46.09', 8)
('55.94', 4)
('41.36', 7)
('55.92', 1)
('55.93', 2)
('188.90', 2)
('41.33', 6)
('75.94', 1)
('55.91', 2)
('75.90', 1)
('75.93', 1)
('33.38', 14)
('33.39', 23)
('33.34', 21)
('33.35', 24)
('33.36', 28)
('33.37', 20)
('33.30', 232)
('33.31', 23)
('33.32', 26)
('33.33', 18)
('163.90', 1)
('17.55', 5476)
('249.10', 1)
('425.00', 1)
('173.50', 2)
('22.79', 416)
('81.90', 2)
('45.27', 6)
('7.32', 11629)
('7.33', 11764)
('7.30', 102442)
('7.31', 11732)
('7.36', 11546)
('7.37', 11321)
('7.34', 11539)
('7.35', 11618)
('7.38', 11501)
('7.39', 11494)
('145.19', 1)
('96.60', 1)
('45.29', 6)
('222.60', 1)
('19.98', 1819)
('19.99', 1852)
('19.96', 1845)
('19.97', 1826)
('19.94', 1878)
('19.95', 1873)
('19.92', 1794)
('19.93', 1841)
('19.90', 16211)
('19.91', 1903)
('1.67', 224317)
('1.66', 225565)
('1.65', 227024)
('1.64', 228348)
('1.63', 230130)
('1.62', 230852)
('1.61', 233106)
('1.60', 2163397)
('1.69', 221189)
('1.68', 223194)
('44.72', 1)
('94.50', 1)
('94.56', 1)
('5063284.00', 1)
('176.34', 1)
('176.30', 1)
('48.07', 2)
('36.06', 20)
('48.05', 2)
('48.04', 2)
('48.03', 3)
('48.02', 2)
('48.01', 2)
('48.00', 24)
('48.09', 3)
('48.08', 5)
('23.33', 259)
('23.32', 276)
('96.52', 1)
('96.50', 1)
('53.76', 2)
('53.77', 3)
('53.74', 2)
('53.75', 2)
('43.95', 5)
('157.20', 1)
('116.00', 1)
('23.39', 280)
('23.38', 270)
('71.98', 1)
('39.41', 9)
('71.90', 2)
('71.91', 2)
('71.92', 1)
('71.94', 1)
('71.95', 1)
('71.96', 1)
('156.89', 1)
('44.77', 1)
('6.16', 17302)
('87.60', 1)
('87.64', 1)
('87.66', 1)
('71.10', 5)
('2097.80', 1)
('54.79', 1)
('54.78', 1)
('54.73', 3)
('54.72', 3)
('54.71', 1)
('54.70', 11)
('54.77', 3)
('54.76', 1)
('54.75', 1)
('54.74', 1)
